gameid,gamename,nratings,gamerank
553,Chez Geek,3951,5189
127024,Room 25,3938,809
5737,Domaine,3930,593
126792,Myrmes,3923,379
128271,Ginkgopolis,3913,298
132,Caesar & Cleopatra,3907,1351
42776,Gears of War: The Board Game,3906,317
494,Ave Caesar,3896,1017
104710,Wiz-War (eighth edition),3892,547
925,Werewolf,3889,1059
124172,Tsuro of the Seas,3881,1094
2338,Starship Catan,3880,757
82222,Xia: Legends of a Drift System,3867,154
36345,Monty Python Fluxx,3866,2494
1041,San Marco,3862,478
155624,Specter Ops,3848,346
194607,Mystic Vale,3845,405
4095,Star Munchkin,3843,2301
12902,Carcassonne: The City,3834,477
146439,BattleLore (Second Edition),3819,122
41002,Vasco da Gama,3802,408
172242,Exploding Kittens: NSFW Deck,3801,2469
43528,World Without End,3790,428
25643,Arkadia,3786,673
27710,Catan Dice Game,3786,5292
156336,Onirim (second edition),3778,437
199,Manhattan,3776,966
155695,Age of War,3763,1432
19100,Hacienda,3750,652
60,Vinci,3746,548
42052,Vinhos,3737,263
112686,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,3728,1170
18258,Mission: Red Planet,3718,685
157526,Viceroy,3707,628
2346,DVONN,3704,322
91,Paths of Glory,3690,88
94362,Rune Age,3689,802
361,Hare & Tortoise,3670,1019
121297,Fleet,3660,644
15,Cosmic Encounter,3655,750
240,Britannia,3650,500
2955,Mexica,3647,498
102104,Star Fluxx,3646,1603
26990,Container,3640,546
25568,Metropolys,3639,588
168584,Love Letter: Batman,3634,406
21441,Mykerinos,3627,738
175117,Celestia,3626,572
103,Titan,3615,741
878,Wyatt Earp,3594,772
21632,To Court the King,3588,1311
34887,Revolution!,3585,937
154246,La Isla,3575,671
152162,Diamonds,3572,621
183840,Oh My Goods!,3544,694
4324,Risk: The Lord of the Rings,3541,3415
34127,Ticket to Ride: The Card Game,3535,1919
2596,Villa Paletti,3528,1297
172081,Burgle Bros.,3527,210
121288,Dixit: Journey,3523,323
88408,Nightfall,3506,1211
22825,Tide of Iron,3494,528
22038,Warrior Knights,3493,788
35570,Tinners' Trail,3493,415
192153,Pandemic: Reign of Cthulhu,3490,315
170,Family Business,3488,2230
421,1830: Railways & Robber Barons,3487,153
31563,Middle-Earth Quest,3484,398
174660,New York 1901,3484,688
6411,Blokus 3D,3475,822
106217,Hawaii,3463,485
24742,Cold War: CIA vs KGB,3459,1037
162007,Steampunk Rally,3453,395
9625,Struggle of Empires,3451,299
1513,The Republic of Rome,3450,309
3685,Hammer of the Scots,3436,272
18866,Shear Panic,3413,1475
169654,Deep Sea Adventure,3411,559
98351,Core Worlds,3409,473
17025,Friday the 13th,3403,1357
70512,Luna,3392,369
4396,Odin's Ravens,3381,1014
39339,Android,3375,942
119432,Snowdonia,3367,320
104363,Rex: Final Days of an Empire,3363,561
1231,Bausack,3362,777
34084,Witch's Brew,3358,624
37628,Haggis,3358,634
528,ZÈRTZ,3357,447
181521,Warhammer Quest: The Adventure Card Game,3354,314
140603,Francis Drake,3349,306
104347,Santiago de Cuba,3343,720
171273,FUSE,3341,524
132372,Guildhall,3338,640
256,Mississippi Queen,3331,1479
37196,Sorry! Sliders,3331,1382
62227,"Labyrinth: The War on Terror, 2001 – ?",3330,273
3307,Wallenstein (first edition),3316,302
167400,Ashes: Rise of the Phoenixborn,3314,335
986,Babel,3312,995
157403,Black Fleet,3308,596
180593,The Bloody Inn,3302,697
2136,Pachisi,3298,14325
65515,Nuns on the Run,3298,1212
192457,Cry Havoc,3289,316
21920,Leonardo da Vinci,3251,906
2163,Space Hulk,3246,396
551,Battle Cry,3231,574
1403,Turn the Tide,3222,876
24417,Factory Fun,3222,798
2386,Chinese Checkers,3220,14276
35497,Fauna,3219,603
145659,Scoville,3216,505
118063,Android: Infiltration,3209,1145
156566,Lords of Xidit,3199,483
52461,Legacy: The Testament of Duke de Crecy,3193,481
142326,Eight-Minute Empire: Legends,3189,600
158275,Marvel Dice Masters: Uncanny X-Men,3185,418
143515,Coal Baron,3177,452
71671,Yggdrasil,3168,609
45986,Stronghold,3149,492
115,I'm the Boss!,3138,869
144592,Bruxelles 1893,3117,241
38159,Ultimate Werewolf: Ultimate Edition,3112,607
481,Carolus Magnus,3107,831
155969,Harbour,3106,1183
4143,Guess Who?,3087,14315
26566,Homesteaders,3085,449
41916,The Magic Labyrinth,3079,815
119591,Rialto,3072,711
491,Web of Power,3069,469
72225,CO₂,3069,497
193037,Dead of Winter: The Long Night,3068,141
137988,Zombicide Season 2: Prison Outbreak,3065,371
15985,Blood Bowl: Living Rulebook,3060,165
4491,Cave Troll,3059,1488
101785,D-Day Dice,3058,811
249,Lifeboats,3057,1139
638,Hera and Zeus,3055,1313
6887,Hearts,3052,1461
106662,Power Grid: The First Sparks,3049,801
55600,Shipyard,3041,404
902,Meuterer,3037,743
177639,Raptor,3036,359
16747,Tumblin-Dice,3035,562
109276,Kanban: Automotive Revolution,3032,200
855,Java,3024,662
29678,Munchkin Quest,3020,3421
340,Frank's Zoo,3014,1124
136991,Loony Quest,3011,608
131646,Merchant of Venus (second edition),3010,515
113401,Timeline: Historical Events,3009,881
163068,Trickerion: Legends of Illusion,3005,180
191977,The Castles of Burgundy: The Card Game,3005,519
243,Advanced Squad Leader,3002,174
198994,Hero Realms,3001,212
19999,Aton,2993,780
6707,Age of Mythology: The Boardgame,2979,2324
19526,Elasund: The First City,2972,1079
175621,Epic Card Game,2972,1264
129948,The Palaces of Carrara,2970,506
119788,Hyperborea,2968,490
106,Mystery Rummy: Jack the Ripper,2954,734
163745,Star Wars: Armada,2953,168
171233,The Big Book of Madness,2953,597
17392,Here I Stand,2952,149
171669,Discoveries,2952,535
161614,Stockpile,2951,288
5048,Candy Land,2948,14342
12477,Bootleggers,2945,1060
163166,One Night Ultimate Werewolf Daybreak,2925,342
158900,Samurai Spirit,2918,925
31497,Oregon,2917,933
1540,BattleTech,2912,813
1117,You're Bluffing!,2911,1176
73171,Earth Reborn,2911,227
3931,Mare Nostrum,2908,1013
151004,Smash Up: Science Fiction Double Feature,2908,436
108784,Ascension: Storm of Souls,2901,474
19777,Indonesia,2899,188
42487,Lost Cities: The Board Game,2898,889
492,Aladdin's Dragons,2894,776
16267,Trans Europa,2887,1112
157809,Nations: The Dice Game,2882,749
199042,Harry Potter: Hogwarts Battle,2878,367
36235,The Duke,2870,348
1339,Dungeon!,2865,3289
71061,DungeonQuest (third edition),2853,1157
166669,San Juan (second edition),2843,281
24800,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,2841,341
30381,Hamburgum,2838,637
148319,Tragedy Looper,2836,464
150999,Valley of the Kings,2833,595
25261,Tannhäuser,2831,1547
4099,Keythedral,2826,619
31105,Archaeology: The Card Game,2823,1049
123096,Space Cadets,2810,1071
79127,Star Trek: Fleet Captains,2808,349
95103,Fortune and Glory: The Cliffhanger Game,2808,692
144553,The Builders: Middle Ages,2805,1316
7,Cathedral,2802,1416
5894,Twister,2801,14319
112138,Krosmaster: Arena,2786,839
95064,Ascension: Return of the Fallen,2781,504
39206,Click Clack Lumberjack,2772,1362
57390,Catacombs,2766,601
17710,Conquest of the Empire,2761,1063
8107,Risk: The Lord of the Rings Trilogy Edition,2760,1655
3284,Star Wars: Epic Duels,2750,855
179572,Dice City,2745,834
40393,FITS,2744,1168
1035,Squad Leader,2736,441
13780,In the Shadow of the Emperor,2733,773
382,Heimlich & Co.,2732,1463
16772,Mall of Horror,2732,1142
12005,Around the World in 80 Days,2727,1233
153065,Linko!,2725,676
149155,Dead Man's Draw,2724,915
15511,Fjords,2719,1046
