gameid,gamename,nratings,gamerank
40531,Cosmic Encounter,1126,2172
160964,Star Wars: Empire vs. Rebellion,1125,2058
31479,Ubongo Extreme,1124,1407
2379,Guesstures,1122,3834
135116,Rent a Hero,1122,2087
191572,Animals on Board,1122,1448
63706,11 nimmt!,1116,2320
84469,Fürstenfeld,1116,1807
207830,5-Minute Dungeon,1116,910
19650,Il Principe,1115,2008
197070,Massive Darkness,1112,854
66849,Safranito,1111,1308
692,Wizard Kings,1110,1635
1604,The Mad Magazine Game,1110,14286
5825,Paris Paris,1110,2607
154301,The Battle at Kemble's Cascade,1109,1406
29687,Leaping Lemmings,1108,1952
12205,In a Pickle,1106,14296
764,Mad Gab,1103,14259
173341,Loopin' Chewie,1100,2031
197443,Fugitive,1099,863
152053,Lagoon: Land of Druids,1098,1965
1662,"Napoleon: The Waterloo Campaign, 1815",1097,951
24935,Anima: Shadow of Omega,1097,4536
68264,No Retreat! The Russian Front,1097,606
4492,Trivial Pursuit: 20th Anniversary Edition,1096,14169
139443,Superfight,1094,3560
30166,"The Good, the Bad, and the Munchkin",1092,2832
166286,Bottom of the 9th,1092,1283
181796,The Prodigals Club,1091,828
8172,Coyote,1088,1776
130877,Blood Bound,1088,1683
165838,Space Hulk (fourth edition),1086,582
177249,The Manhattan Project: Chain Reaction,1086,1734
254,Empires in Arms,1085,896
128898,New Amsterdam,1085,1115
172220,Dungeons & Dragons: Temple of Elemental Evil Board Game,1083,923
392,Brawl,1082,2254
168681,Beyond Baker Street,1082,1150
15954,Conquest of Paradise,1081,1422
173200,Epic Spell Wars of the Battle Wizards: Rumble at Castle Tentakill,1081,1530
46396,Ubongo 3D,1080,1080
195539,The Godfather: Corleone's Empire,1080,682
66510,The Red Dragon Inn 3,1079,1172
25584,If Wishes Were Fishes!,1078,1933
533,Labyrinth: The Card Game,1077,11287
542,Democrazy,1077,12395
172385,Porta Nigra,1077,973
24396,War on Terror,1076,3138
76247,Eaten by Zombies!,1076,3797
296,Medieval Merchant,1075,1527
94104,Omen: A Reign of War,1074,874
131891,Lost Legends,1073,1940
144761,"Going, Going, GONE!",1073,2425
154003,Pagoda,1072,1557
38657,Cities,1071,2069
30,Dark Tower,1070,2037
22245,Times Square,1070,2347
31506,Ziegen Kriegen,1070,2794
118000,Africana,1070,1515
137909,Bugs in the Kitchen,1070,2339
42124,Dungeon Twister 2: Prison,1068,946
423,1856: Railroading in Upper Canada from 1856,1067,799
620,We the People,1067,956
203417,Exit: The Game – The Secret Lab,1067,846
37836,Julius Caesar,1064,667
1491,Outpost,1063,1440
148290,Longhorn,1063,1768
175307,Adventure Time Love Letter,1063,1028
56707,Colonia,1062,1796
160610,Thunderbirds,1062,812
205322,The Oregon Trail Card Game,1061,14301
936,The Fury of Dracula,1060,1442
1962,Tribond,1059,14130
171890,Best Treehouse Ever,1059,1643
1376,Serengeti,1058,2685
126444,The Hobbit Card Game,1058,14083
1442,Victory in the Pacific,1056,1123
142961,Thunderstone Advance: Numenera,1056,868
670,Starship Troopers,1055,2163
1459,Sharp Shooters,1055,2148
118705,Geistesblitz 2.0,1055,1520
158742,Backyard Builders Treehouse,1054,3960
13362,"Warhammer 40,000 (fourth edition)",1053,2340
180564,Carcassonne: Star Wars,1053,1482
109779,Garden Dice,1052,1599
126996,King's Forge,1051,1290
158889,Summoner Wars: Alliances Master Set,1051,439
98242,Star Trek Deck Building Game: The Next Generation,1050,2105
150145,Skull King,1050,1107
8490,Age of Napoleon,1048,1544
180899,Ponzi Scheme,1048,974
10550,Big Boggle,1047,1503
17970,Axis & Allies Miniatures,1046,2222
13286,Gloria Mundi,1045,2973
204836,Escape Room: The Game,1043,931
4553,Attribute,1042,2185
1157,Save Doctor Lucky,1041,4545
8481,Crusader Rex,1041,1122
35572,Strozzi,1041,1574
2456,The Hobbit: The Defeat of Smaug,1040,14274
203430,Fuji Flush,1040,1909
129293,Gauntlet of Fools,1039,3431
193949,Star Trek: Ascendancy,1039,761
25685,Blackbeard,1038,3100
16398,War,1035,14340
22398,10 Days in Asia,1034,1686
26457,Successors (third edition),1034,852
29603,D-Day at Omaha Beach,1032,460
130960,Triumph & Tragedy,1032,426
203416,Exit: The Game – The Pharaoh's Tomb,1032,857
101,Detroit-Cleveland Grand Prix,1031,1545
59753,Priests of Ra,1030,1419
1758,Advanced Heroquest,1028,1891
4209,Monza,1028,1857
65200,Asteroyds,1028,2158
28396,It's Alive!,1027,2443
2535,Valley of the Mammoths,1026,2252
205716,New Angeles,1025,1021
34320,Shanghaien,1024,1839
31552,Wings of War: Deluxe Set,1023,1047
129459,Duel of Ages II,1023,865
109125,Wallenstein (second edition),1022,726
6738,Quicksand,1021,3051
195528,La Granja: No Siesta,1019,1231
941,Turbo Taxi,1018,3210
165948,Mangrovia,1018,1066
7682,Go Fish,1017,14334
2533,Kupferkessel Co.,1016,1355
71676,Back to the Future: The Card Game,1015,4746
124052,Cinque Terre,1015,1217
132544,Tesla vs. Edison: War of Currents,1015,1654
15878,Rummy,1014,5529
34297,The Climbers,1014,1425
3234,Dschunke,1013,1695
146735,Munchkin Adventure Time,1013,2178
31808,GUBS: A Game of Wit and Luck,1012,3734
36739,Black Sheep,1008,3727
19996,Nacht der Magier,1007,1732
163930,Abraca...what?,1007,1803
191051,Outlive,1006,826
1561,Clue Master Detective,1005,1982
37728,Rock the Beat,1005,2325
7929,Dungeons & Dragons Miniatures,1002,2151
31503,Slide 5,1002,1932
128664,Timeline,1002,2079
191894,Imagine,1002,1292
1194,Speed Circuit,1000,1513
29903,Chang Cheng,999,2850
144415,Nauticus,999,1296
980,Al Cabohne,998,3579
143401,Yunnan,998,1166
205597,Jump Drive,997,1190
58798,Cardcassonne,996,2475
427,Grass,995,4224
798,Ace of Aces: Handy Rotary Series,995,1398
192074,Odin's Ravens (second edition),994,1200
35248,Batavia,993,2210
183231,Adventure Land,993,1305
143404,Castellion,992,1261
192934,Colony,992,1677
37165,"Warhammer 40,000 (fifth edition)",991,1758
175223,Valley of the Kings: Afterlife,991,926
76417,Poseidon,990,1234
3728,Ker Plunk,989,14284
118610,Santa Cruz,989,1705
3353,World War II: Barbarossa to Berlin,988,1158
10799,Old Maid,986,14332
75212,Grand Cru,986,1467
128063,Uchronia,986,1883
137776,Praetor,986,1789
174078,Holmes: Sherlock & Mycroft,986,1240
189052,Sea of Clouds,986,1428
223,Expedition,984,1452
133528,City of Remnants,984,1483
177802,Smash Up: It's Your Fault!,983,770
2081,The Civil War,980,840
3632,Too Many Cooks,980,2353
154825,Arkwright,979,620
2633,Dog,978,2257
3886,Nine Men's Morris,978,13830
5767,Mammoth Hunters,978,2929
63740,Hotel Samoa,978,2516
202670,Ticket to Ride: Rails & Sails,978,1007
368,Relationship Tightrope,977,2751
195043,Welcome Back to the Dungeon,977,1336
195856,Bloodborne: The Card Game,976,1366
2818,UNO Attack!,975,13989
23985,Midgard,975,1819
128931,Noblemen,975,1346
180956,One Night Ultimate Vampire,975,1430
